group,ticker,mst_degree_centrality
isolated,ABREL.NS,0.1667
VARX_group_1,HDFCBANK.NS,0.2222
VARX_group_1,INDIGO.NS,0.1111
VARX_group_1,MARATHON.NS,0.0556
VARX_group_1,BIOCON.NS,0.0556
VARX_group_2,BHARTIARTL.NS,0.0556
VARX_group_2,SURYAROSNI.NS,0.1667
VARX_group_2,SUDARSCHEM.NS,0.0556
VARX_group_2,LTTS.NS,0.1111
VARX_group_2,KPRMILL.NS,0.2778
VARX_group_3,APOLLOHOSP.NS,0.0556
VARX_group_3,EIDPARRY.NS,0.1111
VARX_group_3,CAMLINFINE.NS,0.0556
VARX_group_3,ASTERDM.NS,0.1111
VARX_group_3,AEGISLOG.NS,0.0556
VARX_group_4,JSWENERGY.NS,0.0556
VARX_group_4,GREENLAM.NS,0.1111
VARX_group_5,BANDHANBNK.NS,0.1111
VARX_group_5,BSE.NS,0.0556
